,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,sex,civil_status,class,predicted
309,'0<=X<200',<= 12,'existing paid','new car',<= 1554,'<100','1<=X<4',4,none,4,'real estate',<= 28,none,rent,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
310,'0<=X<200',> 24,'existing paid',other,> 3368,'no known savings',unemployed,3,none,4,'no known property',> 38,bank,'for free',1,'unemp/unskilled non res',1,yes,yes,male,single,1,1
311,'no checking',(12 - 24],'existing paid',furniture/equipment,> 3368,'100<=X<500','1<=X<4',4,none,1,car,<= 28,stores,own,1,skilled,1,none,yes,male,single,1,1
312,'>=200',(12 - 24],'existing paid',furniture/equipment,> 3368,'<100','<1',2,none,4,car,<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
313,'0<=X<200',<= 12,'existing paid','new car',<= 1554,'<100','4<=X<7',2,none,3,car,<= 28,bank,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,0,0
314,'>=200',<= 12,'existing paid','new car',<= 1554,'no known savings','<1',1,none,2,'real estate',(28 - 38],none,own,1,'unskilled resident',2,none,no,male,single,1,1
315,'<0',> 24,'all paid',furniture/equipment,(1554 - 3368],'<100','>=7',4,none,4,car,(28 - 38],bank,own,1,skilled,1,none,yes,male,single,0,0
316,'<0',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','1<=X<4',2,guarantor,3,'life insurance',(28 - 38],none,own,1,'unskilled resident',2,none,yes,male,single,1,1
317,'0<=X<200',(12 - 24],'existing paid',furniture/equipment,> 3368,'no known savings','1<=X<4',1,none,4,'life insurance',> 38,none,own,1,'unskilled resident',1,yes,yes,female,married/wid/sep,1,1
318,'no checking',<= 12,'critical/other existing credit',education,<= 1554,'<100','1<=X<4',4,none,2,car,(28 - 38],none,own,2,skilled,1,none,yes,male,single,1,1
319,'<0',(12 - 24],'delayed previously',furniture/equipment,> 3368,'<100','>=7',1,none,4,'life insurance',<= 28,none,own,2,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
320,'0<=X<200',> 24,'critical/other existing credit','new car',> 3368,'<100',unemployed,4,none,2,car,<= 28,none,own,2,'high qualif/self emp/mgmt',1,none,yes,male,married/wid/sep,0,0
321,'<0',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100','<1',4,none,3,'life insurance',(28 - 38],none,own,1,skilled,1,none,yes,male,married/wid/sep,0,0
322,'<0',(12 - 24],'existing paid','used car',(1554 - 3368],'<100','4<=X<7',2,none,1,'no known property',(28 - 38],none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
323,'<0',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'>=1000','1<=X<4',4,none,2,car,<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
324,'no checking',(12 - 24],'critical/other existing credit','new car',<= 1554,'<100','1<=X<4',4,none,3,'real estate',(28 - 38],none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
325,'<0',<= 12,'critical/other existing credit','new car',> 3368,'<100','4<=X<7',1,none,4,'real estate',> 38,none,own,2,'unskilled resident',1,none,no,male,single,1,1
326,'no checking',<= 12,'critical/other existing credit',furniture/equipment,> 3368,'no known savings','>=7',2,none,4,'life insurance',> 38,none,rent,1,skilled,1,yes,yes,male,single,1,1
327,'no checking',(12 - 24],'existing paid','new car',<= 1554,'>=1000','4<=X<7',4,none,3,car,(28 - 38],none,own,1,skilled,2,yes,yes,female,married/wid/sep,1,1
328,'>=200',> 24,'existing paid',radio/tv,> 3368,'<100','>=7',4,none,2,car,(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
329,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'<100','>=7',4,none,4,car,<= 28,none,own,1,skilled,2,none,yes,male,single,1,1
330,'<0',(12 - 24],'critical/other existing credit','used car',> 3368,'<100',unemployed,2,none,4,'no known property',> 38,none,'for free',2,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
331,'no checking',(12 - 24],'critical/other existing credit',education,(1554 - 3368],'100<=X<500','1<=X<4',4,none,2,'real estate',(28 - 38],none,own,2,skilled,1,none,yes,female,married/wid/sep,0,1
332,'0<=X<200',> 24,'existing paid','new car',> 3368,'100<=X<500','<1',4,none,2,'life insurance',<= 28,none,own,1,'high qualif/self emp/mgmt',1,none,yes,female,married/wid/sep,0,0
333,'no checking',> 24,'critical/other existing credit','used car',> 3368,'100<=X<500','1<=X<4',2,none,4,car,<= 28,bank,rent,2,'unskilled resident',1,none,yes,female,married/wid/sep,0,1
334,'<0',(12 - 24],'no credits/all paid',furniture/equipment,> 3368,'<100','>=7',3,none,4,'no known property',<= 28,bank,rent,2,skilled,2,none,yes,male,single,0,0
335,'<0',<= 12,'critical/other existing credit',furniture/equipment,> 3368,'<100','1<=X<4',1,none,4,'real estate',> 38,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,male,married/wid/sep,0,1
336,'0<=X<200',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100','<1',2,guarantor,4,'life insurance',<= 28,none,own,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
337,'<0',(12 - 24],'existing paid','domestic appliance',<= 1554,'no known savings','1<=X<4',4,none,2,car,<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,0,0
338,'<0',(12 - 24],'existing paid',furniture/equipment,> 3368,'<100','1<=X<4',4,none,4,'life insurance',<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
339,'0<=X<200',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','1<=X<4',4,none,2,car,(28 - 38],none,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
340,'0<=X<200',(12 - 24],'critical/other existing credit',education,> 3368,'<100','<1',2,none,4,'no known property',<= 28,none,'for free',2,skilled,1,yes,yes,female,married/wid/sep,1,1
341,'<0',(12 - 24],'existing paid',furniture/equipment,> 3368,'<100','4<=X<7',1,none,4,car,<= 28,none,rent,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
342,'0<=X<200',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'500<=X<1000','<1',1,none,3,'real estate',<= 28,none,rent,1,skilled,1,none,yes,male,married/wid/sep,1,1
343,'0<=X<200',(12 - 24],'existing paid',business,> 3368,'<100','>=7',1,'co applicant',1,'real estate',(28 - 38],bank,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
344,'>=200',<= 12,'existing paid','new car',> 3368,'<100','<1',1,guarantor,1,'life insurance',(28 - 38],none,own,1,'unskilled resident',2,none,yes,male,single,1,1
345,'no checking',(12 - 24],'critical/other existing credit',radio/tv,<= 1554,'<100','1<=X<4',4,none,2,car,> 38,none,own,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
346,'0<=X<200',(12 - 24],'critical/other existing credit',radio/tv,<= 1554,'<100','<1',4,guarantor,4,'real estate',<= 28,none,own,2,skilled,1,none,yes,male,single,1,1
347,'0<=X<200',(12 - 24],'existing paid',radio/tv,> 3368,'500<=X<1000',unemployed,1,none,4,'no known property',<= 28,none,rent,1,'unemp/unskilled non res',1,none,yes,female,married/wid/sep,1,1
348,'no checking',<= 12,'delayed previously',business,(1554 - 3368],'100<=X<500','1<=X<4',1,none,2,'real estate',(28 - 38],none,own,2,'unskilled resident',1,none,yes,male,single,1,1
349,'0<=X<200',<= 12,'critical/other existing credit',education,<= 1554,'>=1000','>=7',4,none,3,'no known property',(28 - 38],none,'for free',2,skilled,2,none,yes,male,single,0,1
350,'no checking',<= 12,'existing paid','domestic appliance',<= 1554,'<100','<1',1,none,4,'real estate',<= 28,none,rent,1,skilled,1,yes,yes,female,married/wid/sep,1,1
351,'0<=X<200',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','1<=X<4',1,none,2,car,(28 - 38],none,own,1,skilled,1,none,no,female,married/wid/sep,0,1
352,'no checking',(12 - 24],'critical/other existing credit','used car',(1554 - 3368],'no known savings',unemployed,2,none,4,'no known property',(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
353,'<0',<= 12,'no credits/all paid',radio/tv,> 3368,'<100','1<=X<4',4,none,2,'life insurance',<= 28,none,rent,2,skilled,1,yes,yes,male,single,0,1
354,'no checking',<= 12,'existing paid',education,<= 1554,'500<=X<1000','>=7',4,none,4,'no known property',> 38,none,'for free',1,skilled,1,yes,yes,male,single,1,1
355,'0<=X<200',(12 - 24],'existing paid','new car',<= 1554,'<100','<1',4,none,2,'real estate',<= 28,stores,own,1,'unskilled resident',1,none,yes,male,single,0,0
356,'no checking',<= 12,'critical/other existing credit',radio/tv,(1554 - 3368],'no known savings','>=7',1,'co applicant',4,'real estate',> 38,none,own,1,skilled,1,yes,yes,male,single,1,1
357,'no checking',> 24,'delayed previously',radio/tv,> 3368,'<100','1<=X<4',4,none,2,car,<= 28,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,1
358,'no checking',<= 12,'existing paid',radio/tv,<= 1554,'<100','1<=X<4',4,none,2,'real estate',<= 28,none,own,1,skilled,1,none,yes,male,married/wid/sep,1,1
359,'<0',> 24,'existing paid',furniture/equipment,(1554 - 3368],'<100','4<=X<7',4,none,4,'real estate',<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,0,0
360,'0<=X<200',(12 - 24],'existing paid',education,<= 1554,'no known savings','1<=X<4',4,none,4,'no known property',> 38,none,'for free',1,skilled,1,none,yes,male,single,1,0
361,'>=200',<= 12,'existing paid',radio/tv,> 3368,'no known savings','>=7',2,none,3,car,(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,none,yes,male,single,1,1
362,'>=200',<= 12,'delayed previously','new car',(1554 - 3368],'<100','1<=X<4',2,none,2,car,(28 - 38],stores,own,2,skilled,1,yes,yes,female,married/wid/sep,1,1
363,'no checking',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',1,none,2,'life insurance',<= 28,none,rent,1,skilled,1,none,yes,male,married/wid/sep,1,1
364,'<0',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100',unemployed,4,none,1,car,<= 28,none,own,1,'unemp/unskilled non res',1,none,yes,male,single,0,1
365,'no checking',<= 12,'existing paid',business,<= 1554,'<100','4<=X<7',2,none,4,car,(28 - 38],none,own,1,skilled,1,yes,yes,male,single,1,1
366,'no checking',(12 - 24],'critical/other existing credit','used car',> 3368,'<100','4<=X<7',3,none,1,car,<= 28,none,own,2,skilled,1,none,yes,male,single,1,1
367,'<0',(12 - 24],'existing paid',furniture/equipment,> 3368,'<100','<1',1,none,4,car,<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,1,1
368,'<0',> 24,'existing paid',furniture/equipment,> 3368,'<100','>=7',4,none,2,car,> 38,none,own,1,skilled,2,none,yes,male,single,0,0
369,'0<=X<200',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','4<=X<7',2,none,4,'real estate',> 38,none,rent,1,skilled,1,none,yes,female,married/wid/sep,1,1
370,'no checking',> 24,'existing paid','new car',(1554 - 3368],'no known savings','1<=X<4',4,none,4,'real estate',(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
371,'no checking',(12 - 24],'critical/other existing credit',radio/tv,> 3368,'<100','>=7',3,none,4,car,(28 - 38],none,own,2,skilled,1,yes,yes,male,single,1,1
372,'no checking',<= 12,'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100','<1',1,none,3,'real estate',<= 28,none,rent,2,skilled,1,none,yes,female,married/wid/sep,1,1
373,'no checking',> 24,'critical/other existing credit','new car',> 3368,'no known savings','>=7',2,none,4,'no known property',> 38,bank,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
374,'0<=X<200',> 24,'all paid',other,> 3368,'100<=X<500','>=7',3,none,4,'no known property',> 38,bank,'for free',2,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,0,0
375,'<0',> 24,'all paid',business,> 3368,'<100','4<=X<7',2,guarantor,4,car,(28 - 38],none,rent,1,skilled,1,none,yes,female,married/wid/sep,0,0
376,'no checking',(12 - 24],'delayed previously',radio/tv,(1554 - 3368],'<100',unemployed,2,none,3,'real estate',(28 - 38],none,own,2,skilled,1,none,yes,male,married/wid/sep,1,1
377,'no checking',<= 12,'delayed previously',radio/tv,<= 1554,'no known savings','>=7',3,none,4,'no known property',(28 - 38],none,'for free',1,skilled,1,none,yes,male,single,1,1
378,'0<=X<200',> 24,'existing paid','new car',> 3368,'<100','>=7',4,none,2,'no known property',> 38,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,0
379,'no checking',<= 12,'critical/other existing credit','new car',<= 1554,'100<=X<500','1<=X<4',4,none,4,car,> 38,none,own,2,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
380,'<0',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'no known savings','4<=X<7',4,none,4,car,> 38,none,own,1,skilled,1,yes,yes,male,single,1,1
381,'0<=X<200',(12 - 24],'existing paid','used car',> 3368,'<100',unemployed,3,none,4,'no known property',(28 - 38],none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,0,0
382,'no checking',(12 - 24],'existing paid','new car',<= 1554,'no known savings','4<=X<7',4,none,4,'life insurance',<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,1,1
383,'>=200',<= 12,'existing paid','new car',<= 1554,'<100','<1',4,none,1,'real estate',<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
384,'no checking',> 24,'delayed previously',business,> 3368,'100<=X<500','1<=X<4',2,none,2,'life insurance',<= 28,none,own,2,'unskilled resident',1,none,yes,male,single,1,1
385,'no checking',(12 - 24],'critical/other existing credit',radio/tv,(1554 - 3368],'<100','1<=X<4',2,none,1,car,<= 28,none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
386,'no checking',(12 - 24],'existing paid',radio/tv,<= 1554,'no known savings','<1',4,none,2,'real estate',<= 28,none,rent,1,skilled,1,yes,yes,female,married/wid/sep,1,1
387,'0<=X<200',(12 - 24],'critical/other existing credit',furniture/equipment,> 3368,'<100',unemployed,4,none,4,'life insurance',> 38,stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
388,'0<=X<200',(12 - 24],'critical/other existing credit',business,(1554 - 3368],'500<=X<1000','1<=X<4',2,none,4,car,<= 28,bank,own,1,skilled,1,none,yes,male,single,1,1
389,'no checking',<= 12,'existing paid',business,<= 1554,'<100','4<=X<7',3,none,2,car,<= 28,none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
390,'no checking',(12 - 24],'existing paid','new car',(1554 - 3368],'<100','1<=X<4',2,none,2,'life insurance',(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,married/wid/sep,1,1
391,'0<=X<200',<= 12,'existing paid',furniture/equipment,<= 1554,'>=1000','<1',1,none,4,'real estate',<= 28,none,rent,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
392,'<0',> 24,'existing paid','new car',(1554 - 3368],'<100','4<=X<7',2,none,4,'no known property',> 38,bank,'for free',1,'high qualif/self emp/mgmt',2,yes,yes,male,single,1,0
393,'<0',<= 12,'critical/other existing credit',radio/tv,(1554 - 3368],'<100','4<=X<7',1,none,4,car,(28 - 38],none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
394,'no checking',<= 12,'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100',unemployed,2,none,3,car,(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,none,yes,male,single,1,1
395,'0<=X<200',> 24,'delayed previously',education,> 3368,'100<=X<500','4<=X<7',2,none,3,'no known property',(28 - 38],none,rent,1,skilled,1,yes,yes,male,single,1,0
396,'<0',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'<100',unemployed,3,none,4,'no known property',> 38,none,'for free',1,'high qualif/self emp/mgmt',1,none,yes,female,married/wid/sep,1,1
397,'<0',> 24,'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100','1<=X<4',3,none,2,'life insurance',> 38,none,own,2,skilled,1,yes,yes,male,married/wid/sep,1,1
398,'0<=X<200',<= 12,'existing paid','new car',<= 1554,'<100','>=7',1,none,1,'real estate',> 38,none,rent,2,skilled,1,none,yes,male,married/wid/sep,0,1
399,'no checking',(12 - 24],'critical/other existing credit',radio/tv,<= 1554,'>=1000','1<=X<4',4,none,1,'real estate',> 38,none,own,2,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
400,'no checking',(12 - 24],'existing paid',radio/tv,<= 1554,'<100','<1',3,none,4,'real estate',> 38,none,own,1,skilled,1,yes,yes,male,married/wid/sep,1,1
401,'0<=X<200',(12 - 24],'critical/other existing credit',business,(1554 - 3368],'no known savings','1<=X<4',4,none,4,'real estate',<= 28,bank,own,2,skilled,1,none,yes,male,married/wid/sep,1,1
402,'no checking',(12 - 24],'delayed previously',business,> 3368,'<100','<1',2,none,2,car,<= 28,bank,own,2,skilled,1,yes,yes,male,single,0,1
403,'no checking',(12 - 24],'delayed previously','new car',<= 1554,'<100','1<=X<4',4,none,2,car,<= 28,none,own,2,'unskilled resident',1,none,yes,male,single,1,1
404,'0<=X<200',(12 - 24],'delayed previously','new car',(1554 - 3368],'no known savings','>=7',4,none,4,car,> 38,none,own,1,skilled,2,none,yes,male,single,1,1
405,'0<=X<200',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100','<1',1,none,1,'life insurance',<= 28,none,own,1,skilled,1,yes,yes,male,married/wid/sep,0,1
406,'no checking',(12 - 24],'critical/other existing credit','used car',(1554 - 3368],'no known savings','4<=X<7',4,none,4,car,> 38,none,own,2,skilled,2,yes,yes,male,single,1,1
407,'<0',(12 - 24],'existing paid',radio/tv,<= 1554,'<100','<1',4,none,2,'real estate',<= 28,none,own,1,skilled,1,none,no,male,married/wid/sep,1,1
408,'no checking',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'500<=X<1000','>=7',3,none,2,car,<= 28,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,married/wid/sep,1,1
409,'>=200',<= 12,'critical/other existing credit','new car',<= 1554,'500<=X<1000','4<=X<7',4,none,2,'real estate',<= 28,none,own,3,skilled,1,yes,yes,male,married/wid/sep,0,1
410,'0<=X<200',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100','>=7',4,none,4,car,<= 28,none,own,1,skilled,1,yes,yes,female,married/wid/sep,1,0
411,'no checking',> 24,'critical/other existing credit','used car',> 3368,'<100','4<=X<7',3,none,2,car,(28 - 38],none,own,2,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
412,'no checking',<= 12,'critical/other existing credit',business,(1554 - 3368],'<100',unemployed,4,none,2,car,> 38,stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,1
413,'no checking',<= 12,'existing paid','new car',(1554 - 3368],'500<=X<1000','1<=X<4',3,none,2,'no known property',> 38,none,rent,1,'unskilled resident',2,none,no,male,single,1,1
414,'<0',(12 - 24],'existing paid','new car',<= 1554,'no known savings','1<=X<4',4,none,2,'life insurance',(28 - 38],none,own,1,skilled,1,none,yes,female,married/wid/sep,0,0
415,'no checking',> 24,'critical/other existing credit','used car',> 3368,'<100','>=7',2,none,2,'life insurance',(28 - 38],none,own,2,skilled,2,yes,yes,male,single,1,1
416,'<0',<= 12,'existing paid','new car',(1554 - 3368],'<100','<1',4,none,1,'real estate',(28 - 38],none,own,1,'unskilled resident',2,none,yes,male,single,0,1
417,'<0',(12 - 24],'delayed previously',education,> 3368,'no known savings','1<=X<4',1,none,2,car,<= 28,none,rent,2,skilled,1,yes,yes,female,married/wid/sep,1,1
418,'no checking',(12 - 24],'existing paid','new car',(1554 - 3368],'500<=X<1000','4<=X<7',1,none,2,car,(28 - 38],bank,own,1,'high qualif/self emp/mgmt',1,none,yes,female,married/wid/sep,1,1
419,'0<=X<200',(12 - 24],'existing paid','new car',<= 1554,'no known savings','1<=X<4',4,none,2,'life insurance',(28 - 38],none,own,1,skilled,1,none,yes,female,married/wid/sep,0,0
420,'no checking',(12 - 24],'existing paid','new car',(1554 - 3368],'>=1000','4<=X<7',2,none,3,car,<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,1,1
421,'0<=X<200',<= 12,'existing paid','used car',(1554 - 3368],'no known savings','1<=X<4',4,none,2,car,(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
422,'0<=X<200',<= 12,'critical/other existing credit','new car',<= 1554,'<100','4<=X<7',2,none,3,'real estate',> 38,none,own,2,'unskilled resident',2,none,yes,male,single,1,1
423,'no checking',(12 - 24],'delayed previously',furniture/equipment,(1554 - 3368],'100<=X<500','4<=X<7',4,none,3,'real estate',(28 - 38],none,own,2,'high qualif/self emp/mgmt',1,none,yes,male,single,1,1
424,'0<=X<200',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'no known savings','>=7',1,none,2,'life insurance',<= 28,bank,own,1,skilled,1,yes,yes,female,married/wid/sep,0,1
425,'0<=X<200',(12 - 24],'existing paid','used car',(1554 - 3368],'<100','1<=X<4',1,none,3,car,<= 28,none,rent,1,skilled,1,yes,yes,male,married/wid/sep,1,1
426,'no checking',> 24,'critical/other existing credit',radio/tv,(1554 - 3368],'<100','>=7',4,none,2,car,(28 - 38],none,own,2,skilled,1,none,yes,male,single,1,1
427,'no checking',(12 - 24],'critical/other existing credit',radio/tv,<= 1554,'>=1000','1<=X<4',4,none,3,'real estate',> 38,none,own,2,skilled,1,none,yes,male,single,1,1
428,'no checking',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','>=7',1,none,4,car,<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
429,'<0',(12 - 24],'critical/other existing credit',repairs,<= 1554,'<100',unemployed,2,none,4,'no known property',> 38,none,'for free',3,'unemp/unskilled non res',2,none,yes,female,married/wid/sep,0,1
430,'no checking',<= 12,'existing paid',business,> 3368,'<100','4<=X<7',1,none,4,'real estate',> 38,none,own,1,'unskilled resident',1,none,yes,male,single,1,1
431,'0<=X<200',(12 - 24],'existing paid',other,> 3368,'<100','1<=X<4',2,'co applicant',3,car,(28 - 38],bank,own,2,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,0
432,'<0',<= 12,'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100',unemployed,4,none,4,'no known property',(28 - 38],none,'for free',3,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
433,'no checking',(12 - 24],'critical/other existing credit',repairs,(1554 - 3368],'<100','1<=X<4',4,none,2,'real estate',(28 - 38],none,own,2,skilled,1,yes,yes,male,married/wid/sep,1,1
434,'<0',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',3,none,2,'real estate',<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
435,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'no known savings','1<=X<4',2,none,1,'real estate',<= 28,none,own,1,skilled,1,yes,yes,male,married/wid/sep,0,1
436,'no checking',<= 12,'existing paid',repairs,<= 1554,'500<=X<1000','4<=X<7',2,none,4,'real estate',<= 28,none,rent,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
437,'no checking',(12 - 24],'critical/other existing credit','new car',<= 1554,'>=1000','>=7',4,none,4,'real estate',(28 - 38],none,own,2,skilled,1,yes,yes,female,married/wid/sep,1,1
438,'<0',> 24,'critical/other existing credit',repairs,> 3368,'<100',unemployed,4,'co applicant',4,car,> 38,none,own,2,'unemp/unskilled non res',1,none,yes,male,single,1,1
439,'>=200',<= 12,'all paid',business,<= 1554,'<100','<1',4,none,1,'real estate',<= 28,none,own,1,'unemp/unskilled non res',1,none,yes,female,married/wid/sep,0,1
440,'no checking',<= 12,'existing paid','new car',(1554 - 3368],'<100','>=7',4,none,4,car,> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
441,'<0',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',2,'co applicant',3,'life insurance',(28 - 38],none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
442,'0<=X<200',(12 - 24],'delayed previously',other,(1554 - 3368],'<100','1<=X<4',2,none,3,car,(28 - 38],bank,own,2,skilled,1,yes,yes,male,single,1,1
443,'no checking',<= 12,'existing paid',education,<= 1554,'<100','>=7',4,none,4,car,> 38,bank,own,1,'unskilled resident',2,none,yes,male,single,0,1
444,'0<=X<200',> 24,'critical/other existing credit',furniture/equipment,> 3368,'<100','1<=X<4',2,none,3,car,(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,0,0
445,'no checking',<= 12,'critical/other existing credit',education,<= 1554,'no known savings','>=7',4,none,4,'life insurance',> 38,none,rent,2,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
446,'<0',> 24,'existing paid','new car',(1554 - 3368],'<100','<1',4,none,4,car,(28 - 38],none,own,1,skilled,1,yes,yes,female,married/wid/sep,0,0
447,'0<=X<200',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',2,guarantor,2,'real estate',(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
448,'>=200',<= 12,'existing paid',furniture/equipment,<= 1554,'no known savings','>=7',3,none,4,'real estate',> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,1,1
449,'0<=X<200',(12 - 24],'delayed previously',repairs,<= 1554,'>=1000','1<=X<4',3,none,3,'life insurance',> 38,stores,own,2,skilled,1,none,yes,male,married/wid/sep,0,1
450,'no checking',> 24,'critical/other existing credit','used car',> 3368,'no known savings','1<=X<4',4,none,2,car,(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
451,'no checking',<= 12,'existing paid',radio/tv,<= 1554,'<100','1<=X<4',3,none,1,'real estate',(28 - 38],none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
452,'no checking',<= 12,'no credits/all paid',furniture/equipment,(1554 - 3368],'<100','>=7',2,none,4,'life insurance',(28 - 38],none,own,2,skilled,1,none,yes,male,single,1,1
453,'no checking',(12 - 24],'existing paid','used car',(1554 - 3368],'<100','>=7',4,none,4,car,(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
454,'<0',(12 - 24],'existing paid','new car',> 3368,'<100','4<=X<7',2,'co applicant',3,'life insurance',(28 - 38],none,own,1,skilled,1,yes,yes,male,single,0,1
455,'no checking',(12 - 24],'existing paid','used car',(1554 - 3368],'<100','<1',4,none,1,'no known property',(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,1,1
456,'<0',<= 12,'critical/other existing credit','new car',> 3368,'<100','1<=X<4',2,none,2,'real estate',(28 - 38],none,rent,2,skilled,2,none,yes,male,single,1,1
457,'<0',<= 12,'existing paid','used car',> 3368,'<100','>=7',3,none,4,'no known property',(28 - 38],none,'for free',1,skilled,1,yes,yes,male,single,0,1
458,'<0',<= 12,'existing paid','domestic appliance',<= 1554,'<100','<1',4,none,1,'real estate',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,0
459,'no checking',(12 - 24],'existing paid',radio/tv,> 3368,'<100','<1',3,none,2,car,(28 - 38],none,own,1,skilled,1,yes,yes,male,single,1,1
460,'<0',> 24,'existing paid',furniture/equipment,> 3368,'<100','1<=X<4',1,guarantor,2,'life insurance',(28 - 38],none,own,1,skilled,2,none,yes,male,single,1,1
461,'<0',(12 - 24],'existing paid','new car',(1554 - 3368],'<100','<1',2,none,3,'real estate',(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
