a,b,c,d,e,f,g,h,i,j,class,predicted
0,1,0,0,0,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0
1,1,0,1,0,1,1,1,1,1,0,0
1,1,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,1,1,1,0,1,0,1
0,0,1,0,0,1,1,1,0,1,0,0
1,0,0,0,0,0,1,1,1,0,0,0
1,1,1,0,1,1,0,0,0,0,1,1
0,1,1,0,0,1,0,0,1,0,0,0
1,1,0,1,0,0,1,0,1,1,0,0
1,1,0,1,0,1,1,0,0,0,0,0
1,1,0,0,1,0,0,1,1,1,0,0
1,1,1,1,1,0,1,1,0,1,0,1
1,1,1,0,0,1,0,1,1,0,0,1
0,1,1,0,0,0,0,1,1,1,0,0
0,1,1,1,0,1,0,1,0,1,0,0
0,0,0,0,1,1,0,1,1,1,1,1
0,1,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,1,1,1,1,0,1,1
1,0,0,1,1,1,0,0,1,0,0,0
0,0,1,1,1,1,0,0,1,1,0,0
0,0,0,1,0,1,0,1,0,0,1,1
0,0,0,1,1,0,1,1,1,1,0,1
0,1,0,0,1,0,0,1,0,0,0,0
1,1,0,0,1,0,1,0,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,1,0,0
1,1,1,0,1,0,1,0,0,0,1,1
1,1,0,0,0,0,1,1,1,1,0,0
1,0,1,1,1,1,1,1,0,1,0,0
1,1,1,0,1,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,1,1,0,0,0,0
1,1,1,0,0,0,1,1,1,0,1,1
1,0,1,0,1,1,0,0,1,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0
0,1,0,1,1,0,1,0,0,0,0,0
1,0,1,1,1,0,1,0,1,0,0,0
0,0,1,1,1,1,0,1,1,1,0,0
0,1,1,1,1,0,0,0,1,1,0,0
0,0,1,1,1,1,1,1,1,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0,1,0,0,1,1,0,0
1,0,1,0,1,1,1,0,0,1,0,0
0,0,1,0,0,1,0,1,1,0,0,0
1,0,1,1,0,0,1,0,0,0,0,0
1,1,0,0,0,1,0,1,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,1,0,1,0,1,0,0,0
1,0,0,1,0,1,0,1,1,0,0,0
0,0,0,0,1,1,0,0,1,0,1,1
1,0,0,1,1,0,0,0,1,1,0,0
1,1,0,1,0,0,0,1,1,1,0,0
1,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,0,1,1,0,1,1,1,1
1,1,0,0,0,1,0,1,0,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0
1,0,0,0,0,1,1,1,1,0,0,0
1,1,1,1,0,0,0,0,1,1,1,1
0,0,0,1,1,0,1,0,1,1,1,1
1,1,1,0,0,1,1,1,1,0,0,1
0,1,1,0,0,1,0,0,1,1,0,0
0,0,1,1,0,1,0,1,1,1,0,0
0,0,0,1,1,0,0,1,1,0,1,1
1,0,1,0,0,1,0,1,0,0,0,0
0,1,1,1,0,1,1,1,0,0,0,0
1,0,0,1,0,0,1,1,0,0,0,0
1,1,1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,1,0,1,1,0,0,0
0,0,1,0,1,0,1,1,0,0,0,0
1,1,1,0,1,1,1,0,0,1,0,1
0,0,0,1,0,0,1,1,0,0,1,1
1,1,1,0,1,1,0,0,1,0,1,1
1,1,0,0,0,1,0,0,0,0,0,0
1,0,0,1,1,1,1,0,1,0,0,0
1,0,0,1,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,1,1,0,0,0
0,1,1,1,0,1,0,0,0,1,0,0
0,1,0,1,1,1,0,1,1,1,0,0
1,0,0,1,0,0,0,1,1,0,0,0
0,0,1,0,1,0,1,0,0,1,0,0
1,1,0,1,1,1,1,0,1,1,0,0
1,0,1,0,1,1,1,0,0,1,0,0
0,1,0,1,1,1,1,0,1,1,0,0
0,0,1,0,1,1,1,1,1,0,0,0
0,0,0,1,1,1,0,1,0,1,1,1
1,1,0,1,0,0,1,1,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1
1,0,1,1,1,0,0,1,1,0,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,1,0,0,1,0,1
0,0,0,1,0,1,1,0,1,0,1,1
0,0,0,0,1,0,1,0,0,0,1,1
0,1,0,0,0,1,0,1,1,0,0,0
1,0,1,1,1,0,1,0,1,0,0,0
1,0,0,1,1,0,0,0,1,1,0,0
1,1,0,0,1,1,0,0,0,0,0,0
1,0,1,1,0,1,0,1,1,0,0,0
1,1,0,1,0,1,1,1,1,0,0,0
1,1,0,1,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,1,0,1,0,0,0
0,1,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,1,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,1,1,1,0,1,1,0,0
1,0,1,0,0,0,0,1,1,0,0,0
0,1,0,1,0,1,0,0,1,1,0,0
1,1,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,0,1,0,0,1,1,1
1,0,0,1,0,1,1,1,1,0,0,0
1,1,0,1,0,1,0,0,1,1,0,0
0,0,0,1,1,1,0,1,0,1,1,1
0,0,0,1,1,0,1,1,0,0,1,1
1,0,1,0,0,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,0,0,1,1
1,0,0,1,1,0,0,0,0,1,0,0
0,1,1,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,1,1,1,0,0,1
1,1,1,0,1,0,0,1,1,0,0,1
0,1,1,1,1,1,1,0,0,1,0,0
0,1,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,1,0,0,0,1,1
0,1,1,0,0,0,1,0,1,1,0,0
0,1,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0
1,1,0,1,0,1,1,1,0,1,0,0
0,0,0,0,0,0,1,1,0,1,0,1
1,0,0,0,1,1,0,1,0,1,0,0
1,1,1,0,0,1,1,1,0,1,0,1
1,1,1,1,0,1,1,1,1,1,0,1
1,1,1,0,1,1,0,1,0,0,0,1
0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,1,0,0,1,1,1,0,0
0,1,1,0,1,0,1,0,0,1,0,0
1,0,0,0,1,1,1,1,1,0,0,0
0,1,1,1,0,1,0,0,0,0,0,0
1,1,1,0,0,1,0,1,1,0,1,1
1,0,0,1,1,0,1,1,0,0,0,0
0,1,0,1,0,1,1,1,1,0,0,0
0,1,1,1,1,1,1,1,1,0,0,0
1,0,0,0,1,0,1,1,1,1,0,0
0,1,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,1,0,1,0,0,0,1
1,0,1,1,1,0,0,1,1,0,0,0
0,0,1,1,1,1,0,1,0,1,0,0
1,0,1,0,1,0,0,0,0,0,0,0
1,1,0,1,1,1,0,0,1,0,0,0
0,0,0,0,1,1,0,1,0,1,0,1
1,0,1,1,0,1,0,1,1,0,0,0
0,1,0,1,0,1,0,0,1,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,1,1,0,1,1,1,1,0,0
0,0,0,1,0,1,0,1,0,1,1,1
1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,1,0,0,1,1,0,0,0,1
1,0,1,1,1,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,1,1,0,0,1
0,0,1,0,0,1,0,0,0,0,0,0
1,0,1,0,1,1,0,1,1,1,0,0
0,1,0,0,1,0,0,1,1,0,0,0
1,0,0,1,1,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,1,1,0,0
1,1,0,0,0,1,0,1,0,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,1,0,0,0,0
1,1,0,1,0,1,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,1,1,1
1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0
0,1,1,1,0,1,1,0,1,0,0,0
1,1,0,1,0,0,0,0,0,1,0,0
1,1,1,0,0,1,1,0,0,0,1,1
1,1,1,0,1,1,0,1,0,0,0,1
1,0,1,0,1,1,0,0,1,0,0,0
1,1,0,1,0,0,1,0,1,1,0,0
1,1,0,0,0,1,1,1,0,1,0,0
1,1,1,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,1,0,0,0
0,1,1,1,1,0,1,1,1,1,0,0
1,0,1,1,1,1,1,1,0,0,0,0
1,0,0,1,1,1,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0,1,1
1,0,1,0,1,0,1,1,0,1,0,0
0,0,1,1,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,1,0,0,0,0
1,0,0,1,0,1,0,0,1,1,0,0
1,0,0,1,0,0,0,0,1,1,0,0
0,0,1,0,1,1,0,1,0,1,0,0
1,0,1,1,1,1,1,1,0,0,0,0
0,0,0,1,1,0,0,1,0,1,1,1
1,0,1,1,0,0,1,0,1,1,0,0
1,0,1,1,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,1,0,0,0
0,1,1,1,0,1,1,1,1,0,0,0
1,0,0,0,1,1,0,1,1,1,0,0
0,0,1,1,1,0,0,0,0,1,0,0
1,0,0,1,0,1,1,0,1,1,0,0
0,1,1,0,1,0,0,0,0,0,0,0
1,1,0,1,1,0,1,1,1,1,0,0
1,0,1,0,0,1,0,1,0,1,0,0
1,1,0,1,0,1,0,0,1,1,0,0
0,1,0,0,1,1,1,1,0,1,0,0
0,1,0,0,0,0,1,0,1,1,0,0
0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,0,0,0,1,0,0,0,0
1,1,1,0,1,1,0,0,0,1,1,1
0,0,1,0,0,0,0,0,1,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0
0,0,0,1,1,0,1,0,1,0,1,1
1,0,0,1,1,0,0,0,1,1,0,0
1,0,1,1,1,1,1,0,0,1,0,0
0,1,1,1,0,0,0,0,1,0,0,0
0,1,1,0,1,1,0,1,1,1,0,0
0,1,0,0,1,0,0,0,1,0,0,0
1,1,0,0,1,1,1,0,0,1,0,0
0,0,1,1,1,0,1,1,0,0,0,0
0,1,0,1,0,1,0,0,1,0,0,0
0,1,1,0,0,1,1,0,1,0,0,0
0,1,1,0,0,1,1,0,1,1,0,0
0,0,0,0,1,1,0,1,0,1,0,1
0,0,0,0,0,1,0,0,0,1,1,1
0,0,1,1,0,1,1,1,1,1,0,0
0,0,0,1,1,0,0,0,0,0,1,1
0,1,0,1,0,1,0,0,0,0,0,0
1,1,0,1,1,1,0,0,0,1,0,0
1,1,1,1,0,0,0,1,0,1,1,1
1,0,1,0,1,1,1,0,0,0,0,0
1,1,0,1,0,1,1,1,0,1,0,0
0,1,1,1,1,0,0,0,0,1,0,0
1,1,0,0,1,1,1,1,0,0,0,0
0,1,0,1,0,0,0,1,1,1,0,0
1,0,0,1,0,1,1,1,1,0,0,0
1,1,1,0,0,0,0,1,0,1,1,1
1,0,1,0,1,0,0,0,1,0,0,0
0,1,1,0,1,1,0,1,0,1,0,0
1,0,1,1,1,0,0,0,1,0,0,0
1,0,0,0,1,1,1,0,1,0,0,0
0,1,1,1,0,1,0,1,0,1,0,0
1,0,0,0,1,1,0,0,0,0,0,0
1,1,0,1,0,1,0,1,0,0,0,0
1,0,1,1,0,1,1,1,0,1,0,0
0,1,0,0,0,1,0,1,1,0,0,0
0,1,0,0,0,1,1,1,0,1,0,0
1,1,0,1,1,1,0,1,1,1,0,0
0,0,1,1,1,0,1,1,0,0,0,0
1,1,0,1,0,0,1,1,1,1,0,0
0,0,1,0,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,1,1
0,1,1,1,0,1,1,0,1,0,0,0
1,1,1,1,0,1,1,0,1,1,0,1
0,0,0,0,0,0,1,1,0,1,0,1
0,1,1,1,0,0,0,1,1,1,0,0
1,0,0,1,1,0,0,1,1,1,0,0
1,0,0,0,0,1,1,0,0,1,0,0
1,0,1,0,1,0,1,0,1,0,0,0
1,1,1,1,1,0,0,1,0,0,0,1
1,0,1,1,1,0,0,1,1,1,0,0
1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,1,1,0,0
1,1,0,1,1,0,0,1,1,1,0,0
1,0,1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1,0,1,1
1,1,0,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,0,0
1,0,1,1,0,0,0,1,1,0,0,0
0,0,1,0,0,1,1,1,0,0,0,0
1,0,0,1,1,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,0,1,0,0
0,1,1,0,1,1,0,0,0,1,0,0
0,1,1,0,1,0,1,0,0,1,0,0
0,1,0,0,1,1,0,0,1,1,0,0
0,0,0,0,1,0,0,0,0,1,1,1
1,1,0,0,0,0,1,1,0,1,0,0
0,0,1,0,1,0,1,1,1,0,0,0
0,0,1,1,0,1,0,0,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,1,1,0,1,1
0,0,0,0,1,0,0,1,1,1,1,1
0,1,1,0,0,1,1,1,0,1,0,0
1,1,0,0,0,1,1,1,1,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,1,1,0,0,0
0,0,0,1,1,0,1,0,1,1,1,1
1,0,1,0,1,1,0,1,1,0,0,0
1,0,0,1,0,1,0,0,0,1,0,0
1,1,1,1,0,1,1,0,1,1,1,1
1,0,0,0,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,1,1,0,0
0,1,0,0,1,1,0,0,1,0,0,0
1,0,1,0,1,0,0,1,1,1,0,0
0,0,0,1,1,0,1,1,1,1,1,1
0,0,1,1,0,1,0,1,0,1,0,0
1,0,0,1,1,1,0,1,0,0,0,0
0,0,1,1,0,1,1,0,1,0,0,0
0,1,1,1,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,1,0,0,0
1,1,1,1,0,1,1,0,1,0,0,1
1,1,0,1,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,1,1
1,1,0,1,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,0,1,1,0,0
1,1,0,1,0,0,1,0,0,1,0,0
0,0,1,0,0,0,1,0,0,1,0,0
0,0,0,1,1,1,1,1,0,0,1,1
1,0,1,0,1,0,0,0,1,0,0,0
0,1,1,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0
0,1,1,1,0,1,1,1,0,1,0,0
1,1,1,1,1,1,0,1,0,0,1,1
0,0,0,1,1,1,0,0,0,0,1,1
1,0,1,0,0,1,0,1,1,0,0,0
1,1,1,1,1,1,1,0,1,1,0,1
1,1,0,1,1,0,0,0,1,0,0,0
1,1,0,1,0,1,1,0,1,1,0,0
0,0,1,1,0,0,0,1,0,0,0,0
1,1,0,1,0,1,0,1,0,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1
1,1,0,1,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,1,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0
1,1,1,0,1,0,1,1,0,0,1,1
0,0,1,0,1,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,1,0,0,0
0,1,0,0,0,0,1,1,0,1,0,0
0,0,1,1,0,1,0,1,1,1,0,0
1,1,1,1,1,0,0,0,0,1,1,1
0,0,1,0,1,0,1,0,0,0,0,0
1,1,0,1,1,1,1,0,0,0,0,0
0,1,0,0,1,1,1,0,0,0,0,0
0,1,0,0,1,0,1,0,1,1,0,0
0,1,0,1,1,1,1,0,1,1,0,0
1,1,1,1,1,0,0,0,1,0,1,1
0,1,1,1,0,1,0,1,1,1,0,0
1,0,1,0,0,0,0,1,1,0,0,0
1,0,1,1,1,0,0,0,1,1,0,0
1,1,0,1,1,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,0,0,1,0,0,1
1,0,1,0,1,0,1,1,0,0,0,0
0,1,1,1,0,0,0,1,0,0,0,0
1,0,1,0,1,1,1,1,0,1,0,0
0,0,0,0,0,1,0,0,1,1,0,1
1,1,1,1,0,1,1,0,1,0,0,1
1,1,1,0,1,1,1,1,1,0,0,1
0,0,1,0,1,0,1,0,0,1,0,0
1,1,1,0,1,1,0,0,1,1,0,1
0,1,1,1,1,1,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,1,0,1,0,0,1,1,1,1
1,1,1,1,0,1,1,1,0,1,0,1
0,0,1,0,1,1,0,0,0,0,0,0
1,1,1,0,1,0,1,1,1,0,1,1
1,0,1,0,0,1,1,1,1,1,0,0
0,0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,1,0,1,1,1,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,1,1,0,0,0,1,1,0,1
1,0,1,1,0,0,1,0,1,0,0,0
1,1,0,1,1,0,0,1,0,1,0,0
1,0,1,1,0,1,1,1,1,1,0,0
1,0,0,0,1,1,0,1,1,0,0,0
1,1,0,0,0,1,0,1,0,0,0,0
1,0,1,0,1,1,0,0,1,1,0,0
0,0,0,0,1,1,0,1,0,1,1,1
0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,1,1,0,1,1,1,0,0,0
0,1,1,1,1,1,0,0,1,0,0,0
1,1,0,1,1,0,1,0,0,1,0,0
0,0,1,1,1,1,0,1,1,1,0,0
0,0,1,0,0,1,1,0,1,1,0,0
0,1,0,1,0,0,0,0,1,0,0,0
0,1,1,0,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0,1,1
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,1,1
0,1,0,1,0,1,0,1,1,1,0,0
0,0,0,0,0,1,1,0,1,0,0,1
0,1,1,0,1,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,0,1,0,1
0,0,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,1,0,0
1,1,0,1,0,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,1
1,0,0,1,0,0,1,1,1,0,0,0
1,0,1,1,1,0,0,1,1,1,0,0
0,0,1,0,1,0,0,1,1,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,1,0,1,0,0
1,1,1,0,1,1,0,1,0,0,1,1
1,1,1,0,0,1,1,1,1,0,1,1
0,1,0,0,0,0,1,0,1,1,0,0
0,0,1,1,0,1,0,1,0,0,0,0
0,0,1,1,1,1,1,1,0,0,0,0
1,1,1,1,0,0,1,0,0,1,0,1
1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,1,1,0,1,0,0
1,1,1,0,1,0,1,0,1,1,0,1
0,1,1,0,0,0,0,1,0,1,0,0
1,1,1,0,0,1,0,1,0,0,0,1
0,1,0,1,0,1,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,1,1,0,0,1,0,0,0
0,0,1,0,1,0,1,1,0,0,0,0
0,0,0,1,1,0,1,0,1,1,1,1
1,1,0,1,0,0,1,0,1,0,0,0
1,0,1,1,1,1,0,1,1,0,0,0
1,0,1,1,1,0,0,1,0,0,0,0
1,0,1,1,1,1,1,1,0,1,0,0
1,0,1,1,0,1,1,1,0,0,0,0
0,1,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,1,1
1,0,0,1,1,0,1,0,1,1,0,0
1,0,1,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,0,1
1,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,1,1,0,1,0,1,0,1
1,0,0,0,0,0,1,1,1,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,1,1,1
1,0,1,1,1,1,0,1,1,1,0,0
1,0,1,0,1,0,1,1,1,0,0,0
1,0,1,0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,1,1,0,1,0,1
1,0,1,0,1,1,0,1,1,1,0,0
0,0,1,0,1,1,0,0,1,0,0,0
0,1,1,1,0,0,1,1,0,1,0,0
1,0,1,1,1,1,1,1,0,1,0,0
0,1,1,1,1,1,0,0,1,1,0,0
1,0,1,0,1,1,1,0,1,1,0,0
0,0,1,0,0,1,0,0,1,1,0,0
1,1,1,1,0,1,0,1,0,0,0,1
0,0,1,1,1,1,0,0,0,0,0,0
1,1,1,0,0,1,0,1,1,0,1,1
0,1,0,1,0,1,0,1,1,1,0,0
0,0,1,1,1,1,0,1,1,1,0,0
1,0,0,1,1,1,1,1,1,1,0,0
1,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,1,0,1
0,0,1,1,0,0,0,1,1,0,0,0
1,1,0,0,1,1,0,1,1,0,0,0
1,1,1,0,1,0,1,0,1,0,0,1
1,1,0,0,0,0,1,1,1,1,0,0
1,0,1,0,1,0,0,0,0,0,0,0
1,1,0,0,1,1,1,1,1,0,0,0
1,0,1,0,0,0,0,1,1,1,0,0
0,0,0,0,1,0,0,0,0,1,1,1
1,0,1,1,0,1,0,0,0,1,0,0
1,1,0,1,1,0,0,1,1,0,0,0
0,0,0,1,1,0,0,1,0,0,0,1
0,0,1,0,0,0,1,0,1,1,0,0
0,1,0,1,0,1,0,0,1,0,0,0
0,1,1,1,1,0,0,0,1,1,0,0
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,1,0,1,0,1,0,1,1,1
0,0,1,1,0,0,1,1,1,1,0,0
0,0,1,0,1,0,1,0,1,0,0,0
1,1,0,0,0,1,0,1,0,1,0,0
0,1,0,1,1,1,0,0,1,1,0,0
0,0,1,0,0,1,1,0,0,1,0,0
1,1,1,1,0,0,0,1,1,0,1,1
1,1,1,1,1,1,0,1,1,1,0,1
1,1,0,0,0,0,0,1,0,1,0,0
0,0,0,1,1,1,0,0,0,1,1,1
1,0,0,1,0,0,1,1,0,0,0,0
0,1,1,0,1,1,1,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,1
1,1,1,0,0,1,1,0,0,0,1,1
1,1,1,0,1,0,1,1,0,0,1,1
0,1,0,1,0,1,0,0,0,0,0,0
0,1,0,1,1,1,0,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,1,1
1,0,0,1,1,0,1,0,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0
1,0,1,1,0,0,0,1,0,0,0,0
0,0,0,0,1,1,1,1,1,1,0,1
1,1,1,0,0,0,1,1,1,1,1,1
1,1,0,1,1,0,1,1,1,1,0,0
0,0,0,0,1,1,0,1,0,1,1,1
1,0,0,1,0,1,0,0,1,1,0,0
1,1,0,0,1,1,0,1,1,0,0,0
0,0,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,1,1,1,1,0,1
0,1,0,0,1,1,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1,1,0,1
1,0,1,0,1,0,1,0,0,1,0,0
0,1,0,1,0,0,0,1,1,0,0,0
1,0,0,1,0,1,1,1,1,0,0,0
0,0,0,1,0,0,1,0,0,1,1,1
1,0,1,0,0,0,1,1,0,0,0,0
1,0,1,1,0,1,0,1,1,1,0,0
1,1,1,1,0,0,1,0,0,0,1,1
0,1,1,1,0,0,1,1,0,0,0,0
1,1,0,1,0,0,0,1,0,0,0,0
0,0,1,1,0,1,0,1,0,1,0,0
0,0,1,0,1,1,1,0,1,0,0,0
1,1,0,0,1,1,1,0,0,1,0,0
1,1,1,1,1,0,1,1,1,0,0,1
1,1,0,1,0,1,0,1,0,1,0,0
0,0,0,0,1,1,1,1,1,0,0,1
0,1,0,1,0,0,1,0,1,1,0,0
0,0,0,1,1,0,0,1,0,1,1,1
0,0,0,1,0,1,1,0,1,1,1,1
1,1,1,1,0,0,0,1,0,0,0,1
1,1,1,0,0,0,0,0,0,1,0,1
1,0,0,1,0,0,1,1,0,0,0,0
0,1,1,0,1,0,1,1,1,0,0,0
0,0,0,1,1,0,1,1,1,1,1,1
0,1,0,0,0,1,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,0,0,0
1,1,1,1,1,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0
0,1,1,1,1,1,0,0,0,0,0,0
0,1,0,0,1,0,1,1,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0,0
1,0,1,0,0,1,0,1,1,0,0,0
0,1,1,0,1,0,0,1,0,0,0,0
1,1,1,0,1,0,1,1,1,0,1,1
0,1,0,0,1,0,0,0,0,1,0,0
1,0,1,1,1,1,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0
1,1,0,1,1,0,0,1,0,1,0,0
1,0,1,1,0,0,0,0,1,0,0,0
1,1,0,1,1,0,1,0,1,1,0,0
1,0,0,1,1,0,1,0,1,1,0,0
1,1,1,1,1,1,1,1,0,1,1,1
1,0,0,0,0,0,0,0,1,0,0,0
1,0,1,1,1,0,1,1,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0
0,1,1,0,1,1,1,1,0,1,0,0
0,1,1,0,1,1,0,1,0,0,0,0
1,1,1,0,1,0,0,1,1,0,1,1
1,1,1,1,1,1,0,1,0,0,0,1
1,1,0,0,0,0,1,1,1,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,1,0,1,0,1
1,1,1,0,1,1,1,0,0,1,1,1
1,0,0,0,1,1,1,1,1,1,0,0
1,1,1,1,0,1,0,0,1,0,1,1
1,1,1,1,0,0,0,1,0,0,1,1
1,0,1,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0
0,1,0,0,0,0,0,1,1,1,0,0
1,0,1,0,0,0,0,0,1,0,0,0
0,1,1,0,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,0,0,0,1
1,1,1,0,0,1,1,1,0,0,0,1
1,0,0,1,1,1,0,0,1,0,0,0
1,1,1,1,0,1,0,1,1,0,0,1
1,1,1,0,0,1,1,0,0,1,1,1
1,0,0,0,1,1,1,0,1,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,1,0,1,1
